,review_text,aspects,design,color,layout,flooring,furniture,tile,light_fixtures,cabinets_design,decor,countertop,windows,appliances,rugs,shutters,ceiling,brick,backsplash,door,sink,molding,roof,space,space_usage,blinds,fireplace,light,doors,size,hardware,kitchen_island,siding,stone,garage_door,house,curtains,view,cabinets_quality,front_door,yard,vanity,landscaping,bathroom_design,location,exterior_look,masonry,cleaness,faucet,closets,lighting,island,columns,pool,furniture_layout,bricks_layout,terrace,heating_unit,bar,closet,deck,light_fuxtures,backyard,stairs,patio,venting,fountain,fascia,curtaines,insulation,handrail,roof_color,wallpapers,pricing,structure,driveway,cabinets,steps,smell,laundry,color,design,countertop,layout,cabinets_design,space,decor,blinds,furniture,hardware,shutters,tile,light_fixtures,light,backsplash,door,doors,roof,siding,appliances,ceiling,rugs,walls,sink,brick,front_door,windows,ligh_fixtures,landscaping,exterior_color,natural_light,stairs,view,curtains,stone,flooring,size,balcony,faucet,island,tiles,bathtub,vanity,backsplash,color,design,windows,light_fixtures,landscaping,location,furniture,recliner_wall,size,space,garage_door,toilette,countertop,wallpapers,venting,tile,layout,brick,decor,curtaines,hardware,light_fixtures,color,decor,furniture,light,garage,furniture,plumbing,color
0,"CaliBamboo is a premium bamboo flooring producer.  As the bamboo flooring market collapses, they have been branching out into other areas of flooring.  Be aware that the CaliBamboo product at Lowe's/Home Depot/etc is NOT the same high quality as their signature brand found only at flooring retailers.",flooring:neutral,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,How can that happen? It happened because quartz never should have been used in that application. I think your best option is what Fori said and use  stainless over it.,countertop:negative,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"I love this and did something like it in my house with a similar 12"" space. It's amazing how useful I've found the extra storage. The advantage to this is that the space can be used, rather than almost solely decorative, as having the shelves open to the shower spray would be (PS, Sherman is adorable!)",space_usage:positive,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,I think it will work. I painted my small bedroom a similar color - Valspar's Urban Pulse - and it really makes it feel cozy. Your space will feel more intimate.,color:positive; space:positive,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,I think you need to change the kick plate to black. looks copper in the photo.  I would put a black planter in front of each of the columns and add a larger more colorful mat on the porch before painting the trim black.  I do like the black trim but agree with pennydesign and think that the yellow door gets a little lost,molding:positive; doors:negative,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"The ""walk-in closet"" isn't usable, since the space left between clothes is 2'-6"" if it's actually built to the dimensions shown.",closet:negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Wood tile looks best when the grout matches the tile.,tile:neutral,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"In the campaign it's actually quite cool! And I kinda like the shark floor, could be fun in a public space like a pub.",flooring:positive,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Oh what a beautiful brick home you have!,brick:positive,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,That product has ruined your floors. You need to sand them down and start over.,flooring:negative,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"You need to rearrange  everything as was suggested by shead above. That just isn't a good layout. Hers is far better. You need less of the appliance display at Home Depot look. You need taller stacked cabinets to the ceiling and NOT that staggered look. You need less of a bulky awkward continent and more of a actual designed piece of furniture. You need a hood that integrates into the cabinets better, or that has more open space around it to give it the emphasis it demands.",layout:negative; cabinets_design:negative,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"For what its worth, we love our vinyl plank. We have dogs, cats, horses. Its so easy to clean...just mop it and its done. We have it downstairs and up. Next winter, we will be installing it in the library. Looks like wood without the worry. The product has improved so much! Its not the 1970s vinyl anymore lol",flooring:positive,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"Good suggestion from Sabrina, those windows don’t even have a profile.",windows:negative,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,The roof looks fine.  I love your door color.  Add more color plants in front of the porch.,roof:positive; color:positive; landscaping:positive,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
